1,0%,,,,,,,,,,,,,,,,
2,18%,0%,,,,,,,,,,,,,,,
3,100%,-40%,0%,,,,,,,,,,,,,,
4,58%,14%,-72%,0%,,,,,,,,,,,,,
5,100%,-2%,0%,-20%,0%,,,,,,,,,,,,
6,100%,11%,100%,60%,100%,0%,,,,,,,,,,,
7,100%,-2%,0%,-20%,0%,100%,0%,,,,,,,,,,
8,100%,-40%,0%,-72%,0%,100%,0%,0%,,,,,,,,,
9,100%,-40%,0%,-72%,0%,100%,0%,0%,0%,,,,,,,,
10,0%,7%,0%,54%,50%,0%,50%,0%,0%,0%,,,,,,,
11,100%,-40%,0%,-72%,0%,100%,0%,0%,0%,0%,0%,,,,,,
12,100%,-40%,0%,-72%,0%,100%,0%,0%,0%,0%,0%,0%,,,,,
13,0%,-20%,-100%,12%,0%,-100%,0%,-100%,-100%,0%,-100%,-100%,0%,,,,
14,47%,16%,8%,31%,28%,47%,28%,8%,8%,38%,8%,8%,19%,0%,,,
15,0%,-13%,-100%,9%,0%,0%,0%,-100%,-100%,0%,-100%,-100%,-33%,-38%,0%,,
16,50%,0%,-100%,-4%,-26%,50%,-26%,-100%,-100%,34%,-100%,-100%,-8%,24%,-8%,0%,
17,38%,1%,-67%,-1%,-15%,44%,-15%,-67%,-67%,34%,-67%,-67%,-3%,8%,-26%,-6%,0%
