方言,总量,O,C,N,Q,R,D,H,E,G,J
官话北京,35,57.14,8.57,17.14,8.57,5.71,0.00,2.85,0.00,0.00,0.00
官话东北,28,60.71,32.14,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00
官话江淮,73,78.08,8.21,9.58,0.00,1.36,1.36,0.00,1.36,0.00,0.00
官话鲁晋,49,73.46,16.32,4.08,2.04,2.04,0.00,2.04,0.00,0.00,0.00
官话西南,60,78.33,5.00,5.00,5.00,3.33,3.33,0.00,0.00,0.00,0.00
官话中原,44,84.09,2.27,9.09,2.27,0.00,2.27,0.00,0.00,0.00,0.00
晋语,29,65.51,17.24,6.89,6.89,0.00,0.00,0.00,3.44,0.00,0.00
闽语,17,70.58,0.00,23.52,0.00,5.88,0.00,0.00,0.00,0.00,0.00
吴语,149,77.18,6.71,4.69,4.69,2.68,2.01,0.67,0.00,0.67,0.67
湘语,18,72.22,0.00,5.55,16.66,0.00,5.55,0.00,0.00,0.00,0.00
粤语,22,81.81,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00
赣语,16,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
